pkid,ChocoSolver,CyclicSolver,HeaSolver,PenaltySolver
F1,0.55,75.84,166.05,118.58
F2,0.69,92.93,254.57,180.92
G1,1.28,99.72,595.41,396.88
G2,4.29,167.80,683.37,438.73
K1,2.70,114.86,1457.74,1139.84
K2,3.81,128.46,2115.98,2251.32
