Circuit Name,Qubit Num,Gate Num,method,lay,cx_ideal,cx_constrained,cx_added,depth_ideal,depth_constrained,seed,layout_time_s,transpile_time_s,size
decod24-v2_43,4,52,dense,True,22,64,42,30,68,1542,0.000741,0.003733,94
decod24-v2_43,4,52,trivial,True,22,61,39,30,70,1642,0.000417,0.003783,91
decod24-v2_43,4,52,sabre,True,22,31,9,30,40,1642,0.001555,0.003438,61
decod24-v2_43,4,52,vf2,True,22,22,0,30,30,1642,0.000760,0.002557,52
decod24-v2_43,4,52,dense,True,22,67,45,30,63,1642,0.000735,0.003745,97
decod24-v2_43,4,52,trivial,True,22,70,48,30,82,1742,0.000424,0.003867,100
decod24-v2_43,4,52,sabre,True,22,22,0,30,30,1742,0.001536,0.002485,52
decod24-v2_43,4,52,vf2,True,22,22,0,30,30,1742,0.000746,0.002515,52
decod24-v2_43,4,52,dense,True,22,61,39,30,69,1742,0.000724,0.003704,91
decod24-v2_43,4,52,trivial,True,22,73,51,30,82,1842,0.000419,0.003841,103
decod24-v2_43,4,52,sabre,True,22,22,0,30,30,1842,0.001413,0.002572,52
decod24-v2_43,4,52,vf2,True,22,22,0,30,30,1842,0.000779,0.002541,52
decod24-v2_43,4,52,dense,True,22,61,39,30,60,1842,0.000716,0.003728,91
decod24-v2_43,4,52,trivial,True,22,70,48,30,78,1942,0.000416,0.003795,100
decod24-v2_43,4,52,sabre,True,22,31,9,30,41,1942,0.001642,0.003453,61
decod24-v2_43,4,52,vf2,True,22,22,0,30,30,1942,0.000748,0.002565,52
decod24-v2_43,4,52,dense,True,22,67,45,30,78,1942,0.000751,0.003576,97
decod24-v2_43,4,52,trivial,True,22,61,39,30,70,2042,0.000421,0.003807,91
decod24-v2_43,4,52,sabre,True,22,31,9,30,41,2042,0.001556,0.003407,61
decod24-v2_43,4,52,vf2,True,22,22,0,30,30,2042,0.000739,0.002519,52
decod24-v2_43,4,52,dense,True,22,64,42,30,75,2042,0.000748,0.003717,94
decod24-v2_43,4,52,trivial,True,22,67,45,30,80,2142,0.000417,0.003823,97
decod24-v2_43,4,52,sabre,True,22,31,9,30,38,2142,0.001603,0.003424,61
decod24-v2_43,4,52,vf2,True,22,22,0,30,30,2142,0.000759,0.002597,52
decod24-v2_43,4,52,dense,True,22,58,36,30,63,2142,0.000772,0.003651,88
decod24-v2_43,4,52,trivial,True,22,58,36,30,69,2242,0.000420,0.003704,88
decod24-v2_43,4,52,sabre,True,22,31,9,30,40,2242,0.001581,0.003410,61
decod24-v2_43,4,52,vf2,True,22,22,0,30,30,2242,0.000740,0.002506,52
decod24-v2_43,4,52,dense,True,22,67,45,30,67,2242,0.000760,0.003800,97
decod24-v2_43,4,52,trivial,True,22,61,39,30,72,2342,0.000420,0.003929,91
decod24-v2_43,4,52,sabre,True,22,22,0,30,30,2342,0.001550,0.002585,52
decod24-v2_43,4,52,vf2,True,22,22,0,30,30,2342,0.000783,0.002565,52
decod24-v2_43,4,52,dense,True,22,73,51,30,80,2342,0.000749,0.003770,103
decod24-v2_43,4,52,trivial,True,22,64,42,30,74,2442,0.000430,0.003740,94
decod24-v2_43,4,52,sabre,True,22,31,9,30,41,2442,0.001627,0.003425,61
decod24-v2_43,4,52,vf2,True,22,22,0,30,30,2442,0.000754,0.002501,52
decod24-v2_43,4,52,dense,True,22,55,33,30,60,2442,0.000728,0.003659,85
decod24-v2_43,4,52,trivial,True,22,49,27,30,50,2542,0.000412,0.003582,79
decod24-v2_43,4,52,sabre,True,22,31,9,30,40,2542,0.001562,0.003375,61
decod24-v2_43,4,52,vf2,True,22,22,0,30,30,2542,0.000778,0.002597,52
decod24-v2_43,4,52,dense,True,22,64,42,30,68,2542,0.000713,0.003659,94
decod24-v2_43,4,52,trivial,True,22,70,48,30,79,2642,0.000415,0.003785,100
decod24-v2_43,4,52,sabre,True,22,22,0,30,30,2642,0.001550,0.002577,52
decod24-v2_43,4,52,vf2,True,22,22,0,30,30,2642,0.000769,0.002522,52
decod24-v2_43,4,52,dense,True,22,70,48,30,83,2642,0.000746,0.003712,100
decod24-v2_43,4,52,trivial,True,22,70,48,30,79,2742,0.000434,0.003830,100
decod24-v2_43,4,52,sabre,True,22,22,0,30,30,2742,0.001544,0.002485,52
decod24-v2_43,4,52,vf2,True,22,22,0,30,30,2742,0.000762,0.002461,52
decod24-v2_43,4,52,dense,True,22,43,21,30,43,2742,0.000739,0.003518,73
decod24-v2_43,4,52,trivial,True,22,49,27,30,47,2842,0.000419,0.003609,79
decod24-v2_43,4,52,sabre,True,22,22,0,30,30,2842,0.001482,0.002551,52
decod24-v2_43,4,52,vf2,True,22,22,0,30,30,2842,0.000761,0.002599,52
decod24-v2_43,4,52,dense,True,22,55,33,30,56,2842,0.000688,0.003633,85
decod24-v2_43,4,52,trivial,True,22,70,48,30,78,2942,0.000439,0.003836,100
decod24-v2_43,4,52,sabre,True,22,31,9,30,41,2942,0.001694,0.003390,61
decod24-v2_43,4,52,vf2,True,22,22,0,30,30,2942,0.000759,0.002536,52
decod24-v2_43,4,52,dense,True,22,61,39,30,63,2942,0.000716,0.003669,91
decod24-v2_43,4,52,trivial,True,22,70,48,30,75,3042,0.000417,0.003780,100
decod24-v2_43,4,52,sabre,True,22,22,0,30,30,3042,0.001608,0.002507,52
decod24-v2_43,4,52,vf2,True,22,22,0,30,30,3042,0.000753,0.002523,52
decod24-v2_43,4,52,dense,True,22,64,42,30,62,3042,0.000742,0.003722,94
decod24-v2_43,4,52,trivial,True,22,70,48,30,74,3142,0.000424,0.003785,100
decod24-v2_43,4,52,sabre,True,22,22,0,30,30,3142,0.001537,0.002558,52
decod24-v2_43,4,52,vf2,True,22,22,0,30,30,3142,0.000776,0.002476,52
decod24-v2_43,4,52,dense,True,22,52,30,30,46,3142,0.000716,0.003635,82
decod24-v2_43,4,52,trivial,True,22,67,45,30,75,3242,0.000418,0.003826,97
decod24-v2_43,4,52,sabre,True,22,22,0,30,30,3242,0.001296,0.002509,52
decod24-v2_43,4,52,vf2,True,22,22,0,30,30,3242,0.000761,0.002560,52
decod24-v2_43,4,52,dense,True,22,55,33,30,54,3242,0.000770,0.003582,85
decod24-v2_43,4,52,trivial,True,22,70,48,30,83,3342,0.000417,0.003743,100
decod24-v2_43,4,52,sabre,True,22,31,9,30,41,3342,0.001658,0.003432,61
decod24-v2_43,4,52,vf2,True,22,22,0,30,30,3342,0.000756,0.002554,52
decod24-v2_43,4,52,dense,True,22,64,42,30,65,3342,0.000729,0.003617,94
decod24-v2_43,4,52,trivial,True,22,43,21,30,44,3442,0.000440,0.003530,73
decod24-v2_43,4,52,sabre,True,22,22,0,30,30,3442,0.001533,0.002567,52
decod24-v2_43,4,52,vf2,True,22,22,0,30,30,3442,0.000782,0.002523,52
decod24-v2_43,4,52,dense,True,22,73,51,30,70,3442,0.000716,0.003745,103
decod24-v2_43,4,52,trivial,True,22,70,48,30,78,3542,0.000418,0.003864,100
decod24-v2_43,4,52,sabre,True,22,22,0,30,30,3542,0.001494,0.002532,52
decod24-v2_43,4,52,vf2,True,22,22,0,30,30,3542,0.000746,0.002527,52
decod24-v2_43,4,52,dense,True,22,64,42,30,62,3542,0.000695,0.003601,94
decod24-v2_43,4,52,trivial,True,22,61,39,30,67,3642,0.000419,0.003635,91
decod24-v2_43,4,52,sabre,True,22,31,9,30,41,3642,0.001581,0.003376,61
decod24-v2_43,4,52,vf2,True,22,22,0,30,30,3642,0.000763,0.002547,52
decod24-v2_43,4,52,dense,True,22,64,42,30,65,3642,0.000688,0.003647,94
decod24-v2_43,4,52,trivial,True,22,46,24,30,48,3742,0.000414,0.003561,76
decod24-v2_43,4,52,sabre,True,22,31,9,30,41,3742,0.001695,0.003307,61
decod24-v2_43,4,52,vf2,True,22,22,0,30,30,3742,0.000746,0.002525,52
decod24-v2_43,4,52,dense,True,22,52,30,30,51,3742,0.000712,0.003575,82
decod24-v2_43,4,52,trivial,True,22,61,39,30,69,3842,0.000426,0.003793,91
decod24-v2_43,4,52,sabre,True,22,22,0,30,30,3842,0.001562,0.002506,52
decod24-v2_43,4,52,vf2,True,22,22,0,30,30,3842,0.000758,0.002548,52
decod24-v2_43,4,52,dense,True,22,61,39,30,71,3842,0.000731,0.003688,91
decod24-v2_43,4,52,trivial,True,22,67,45,30,75,3942,0.000417,0.003776,97
decod24-v2_43,4,52,sabre,True,22,31,9,30,41,3942,0.001526,0.003454,61
decod24-v2_43,4,52,vf2,True,22,22,0,30,30,3942,0.000747,0.002567,52
decod24-v2_43,4,52,dense,True,22,73,51,30,73,3942,0.000728,0.003809,103
decod24-v2_43,4,52,trivial,True,22,73,51,30,82,4042,0.000421,0.003818,103
decod24-v2_43,4,52,sabre,True,22,22,0,30,30,4042,0.001523,0.002589,52
decod24-v2_43,4,52,vf2,True,22,22,0,30,30,4042,0.000798,0.002439,52
decod24-v2_43,4,52,dense,True,22,73,51,30,74,4042,0.000730,0.003837,103
decod24-v2_43,4,52,trivial,True,22,55,33,30,64,4142,0.000419,0.003656,85
decod24-v2_43,4,52,sabre,True,22,22,0,30,30,4142,0.001424,0.002494,52
decod24-v2_43,4,52,vf2,True,22,22,0,30,30,4142,0.000739,0.002561,52
decod24-v2_43,4,52,dense,True,22,61,39,30,70,4142,0.000746,0.003690,91
decod24-v2_43,4,52,trivial,True,22,58,36,30,63,4242,0.000430,0.003678,88
decod24-v2_43,4,52,sabre,True,22,31,9,30,41,4242,0.001541,0.003528,61
decod24-v2_43,4,52,vf2,True,22,22,0,30,30,4242,0.000807,0.002706,52
decod24-v2_43,4,52,dense,True,22,43,21,30,46,4242,0.000767,0.003565,73
decod24-v2_43,4,52,trivial,True,22,49,27,30,48,4342,0.000420,0.003587,79
decod24-v2_43,4,52,sabre,True,22,31,9,30,41,4342,0.001542,0.003407,61
decod24-v2_43,4,52,vf2,True,22,22,0,30,30,4342,0.000765,0.002544,52
decod24-v2_43,4,52,dense,True,22,52,30,30,43,4342,0.000721,0.003536,82
decod24-v2_43,4,52,trivial,True,22,61,39,30,70,4442,0.000420,0.003884,91
decod24-v2_43,4,52,sabre,True,22,31,9,30,40,4442,0.001554,0.003468,61
decod24-v2_43,4,52,vf2,True,22,22,0,30,30,4442,0.000745,0.002590,52
decod24-v2_43,4,52,dense,True,22,58,36,30,64,4442,0.000770,0.003692,88
decod24-v2_43,4,52,trivial,True,22,70,48,30,82,4542,0.000419,0.003779,100
decod24-v2_43,4,52,sabre,True,22,22,0,30,30,4542,0.001556,0.002578,52
decod24-v2_43,4,52,vf2,True,22,22,0,30,30,4542,0.000771,0.002495,52
decod24-v2_43,4,52,dense,True,22,52,30,30,55,4542,0.000736,0.003651,82
decod24-v2_43,4,52,trivial,True,22,61,39,30,67,4642,0.000419,0.003699,91
decod24-v2_43,4,52,sabre,True,22,31,9,30,40,4642,0.001559,0.003443,61
decod24-v2_43,4,52,vf2,True,22,22,0,30,30,4642,0.000772,0.002588,52
decod24-v2_43,4,52,dense,True,22,67,45,30,79,4642,0.000730,0.003703,97
decod24-v2_43,4,52,trivial,True,22,55,33,30,63,4742,0.000429,0.004095,85
decod24-v2_43,4,52,sabre,True,22,22,0,30,30,4742,0.001738,0.002590,52
decod24-v2_43,4,52,vf2,True,22,22,0,30,30,4742,0.000780,0.002558,52
decod24-v2_43,4,52,dense,True,22,52,30,30,50,4742,0.000847,0.003661,82
decod24-v2_43,4,52,trivial,True,22,61,39,30,67,4842,0.000444,0.003982,91
decod24-v2_43,4,52,sabre,True,22,22,0,30,30,4842,0.001665,0.002551,52
decod24-v2_43,4,52,vf2,True,22,22,0,30,30,4842,0.000760,0.002655,52
decod24-v2_43,4,52,dense,True,22,61,39,30,61,4842,0.000779,0.003905,91
decod24-v2_43,4,52,trivial,True,22,70,48,30,78,4942,0.000419,0.003878,100
decod24-v2_43,4,52,sabre,True,22,31,9,30,40,4942,0.001680,0.003472,61
decod24-v2_43,4,52,vf2,True,22,22,0,30,30,4942,0.000800,0.002645,52
decod24-v2_43,4,52,dense,True,22,61,39,30,57,4942,0.000828,0.003735,91
decod24-v2_43,4,52,trivial,True,22,61,39,30,68,5042,0.000421,0.003928,91
decod24-v2_43,4,52,sabre,True,22,31,9,30,40,5042,0.001478,0.003471,61
decod24-v2_43,4,52,vf2,True,22,22,0,30,30,5042,0.000772,0.002747,52
decod24-v2_43,4,52,dense,True,22,61,39,30,62,5042,0.000784,0.003772,91
decod24-v2_43,4,52,trivial,True,22,76,54,30,86,5142,0.000441,0.003849,106
decod24-v2_43,4,52,sabre,True,22,22,0,30,30,5142,0.001598,0.002663,52
