pkid,ChocoSolver,CyclicSolver,HeaSolver,PenaltySolver
F1,0.09,21.84,40.67,39.45
F2,0.37,63.68,151.48,101.78
G1,0.27,33.53,183.13,113.42
G2,0.37,56.37,247.12,163.34
K1,0.23,101.46,328.00,289.04
K2,1.29,37.31,658.72,494.84
F3,0.55,75.84,166.05,118.58
F4,0.69,92.93,254.57,180.92
G3,1.28,99.72,595.41,396.88
G4,4.29,167.80,683.37,438.73
K3,2.70,114.86,1457.74,1139.84
K4,3.81,128.46,2115.98,2251.32
