pkid,pbid,layers,variables,constraints,method,best_solution_probs,in_constraints_probs,ARG,iteration_count,classcial,quantum,run_times
0,0,5,6,3,PenaltySolver,3.41796875,16.69921875,48.12025666205696,118,10.432378625904676,43.131675904092845,133120
0,1,5,6,3,PenaltySolver,25.68359375,31.640625,28.953124980697915,113,9.876830837107264,42.39025300490903,128000
0,2,5,6,3,PenaltySolver,0.1953125,35.15625,37.98597297683093,124,9.182552552141715,45.1824921448715,140288
0,3,5,6,3,PenaltySolver,3.61328125,16.69921875,50.602539020331214,105,9.590036976034753,39.83475639895187,118784
0,4,5,6,3,PenaltySolver,0.68359375,28.125,27.607910138995056,111,9.785770776099525,41.13340278589749,125952
0,5,5,6,3,PenaltySolver,5.46875,28.90625,81.67789699928684,132,11.34419957883074,47.78378770916606,149504
0,6,5,6,3,PenaltySolver,15.33203125,24.51171875,24.798700736500564,119,12.603574304841459,45.10286142415134,134144
0,7,5,6,3,PenaltySolver,0.1953125,20.41015625,57.26139316554289,100,7.16735728099593,38.124480881000636,113664
0,8,5,6,3,PenaltySolver,3.3203125,23.14453125,50.881535417591124,119,11.214854112855392,44.51128107713885,134144
0,9,5,6,3,PenaltySolver,0.48828125,31.93359375,18.096914055261234,128,10.8908224881161,47.787836263887584,144384
0,10,5,6,3,PenaltySolver,9.9609375,16.69921875,129.65698209773254,120,11.36432913428871,43.7433217507205,136192
0,11,5,6,3,PenaltySolver,0.78125,16.6015625,29.544175074532838,114,7.926721069874475,42.20907683312544,129024
0,12,5,6,3,PenaltySolver,11.23046875,25.78125,29.953667518081293,113,10.898939515725942,43.941882055281894,128000
0,13,5,6,3,PenaltySolver,3.22265625,15.33203125,46.91826919467825,100,8.825853676738916,38.38128433024394,113664
0,14,5,6,3,PenaltySolver,8.59375,25.29296875,29.379166647080552,106,8.74982714393991,40.08106312304153,119808
0,15,5,6,3,PenaltySolver,0.78125,6.640625,77.82734367217265,106,8.668135003739735,40.57466663426021,119808
0,16,5,6,3,PenaltySolver,3.90625,40.91796875,24.07682290061545,120,10.556899508985225,44.9024717080174,136192
0,17,5,6,3,PenaltySolver,2.05078125,40.91796875,12.838613999874587,125,11.983480053866515,42.39773041612352,141312
0,18,5,6,3,PenaltySolver,0.390625,31.73828125,18.609900834188497,109,8.547961776988814,36.538889548013685,122880
0,19,5,6,3,PenaltySolver,0,49.31640625,16.263183586357645,124,9.802007933001732,41.34759947602288,140288
0,20,5,6,3,PenaltySolver,1.171875,7.12890625,43.0041015338306,117,8.17329106782563,36.86681575118564,132096
0,21,5,6,3,PenaltySolver,25.5859375,29.8828125,14.563274510064387,122,9.10461779020261,41.35091613678378,138240
0,22,5,6,3,PenaltySolver,0.09765625,45.703125,15.105765958106188,113,9.42460649588611,37.1314568821108,128000
0,23,5,6,3,PenaltySolver,0,42.96875,34.42578120696777,134,8.68057404004503,42.55160844893544,151552
0,24,5,6,3,PenaltySolver,0.48828125,33.49609375,32.85937497946289,117,9.870601272938075,38.829342236043885,132096
0,25,5,6,3,PenaltySolver,0.87890625,20.41015625,23.028490139444134,104,8.672302827151725,30.081348463863833,117760
0,26,5,6,3,PenaltySolver,12.890625,31.4453125,16.935102975256772,123,10.001825953950174,40.372691248048795,139264
0,27,5,6,3,PenaltySolver,6.73828125,29.98046875,16.94970702473088,137,11.135237219074043,46.03632907991414,154624
0,28,5,6,3,PenaltySolver,0.390625,34.86328125,28.03406478130349,121,11.39850175724132,37.76967154874001,137216
0,29,5,6,3,PenaltySolver,0.09765625,17.48046875,29.104833969822582,114,9.881940769177163,36.53741989581613,129024
0,30,5,6,3,PenaltySolver,7.421875,18.359375,31.05929902788372,115,9.183489307120908,39.26306435588049,130048
0,31,5,6,3,PenaltySolver,0.390625,8.88671875,24.529110851414707,105,11.021927767927991,35.82604329707101,118784
0,32,5,6,3,PenaltySolver,2.63671875,16.9921875,26.961348670020342,94,8.044686182111036,30.19376177387312,106496
0,33,5,6,3,PenaltySolver,1.46484375,5.6640625,54.079477121861935,113,8.99987126904307,37.46521041795495,128000
0,34,5,6,3,PenaltySolver,8.7890625,15.72265625,32.58849514817214,109,10.538801205024356,35.258395755983656,122880
0,35,5,6,3,PenaltySolver,14.35546875,19.62890625,30.597450641790815,115,11.375298179744277,34.8669467002328,130048
0,36,5,6,3,PenaltySolver,1.7578125,39.453125,15.099765618960094,113,6.725086636899505,35.078493208100554,128000
0,37,5,6,3,PenaltySolver,2.24609375,14.94140625,70.90507805409491,109,10.136912271060282,34.620676531951176,122880
0,38,5,6,3,PenaltySolver,8.30078125,11.1328125,39.87182614695511,126,12.373210382036632,40.126235488947714,142336
0,39,5,6,3,PenaltySolver,6.4453125,13.671875,47.35096150203772,102,8.626490792055847,34.320613933959976,115712
0,40,5,6,3,PenaltySolver,3.02734375,19.53125,38.88821611990785,114,10.213043929164996,37.29549997783033,129024
0,41,5,6,3,PenaltySolver,0.390625,13.8671875,34.63617619603546,123,12.103630231023999,40.41139198897872,139264
0,42,5,6,3,PenaltySolver,6.640625,21.2890625,34.651733376780165,113,10.583264965069247,37.02909713392728,128000
0,43,5,6,3,PenaltySolver,33.984375,40.4296875,26.204650862528343,135,11.550715807970846,40.48136557501857,152576
0,44,5,6,3,PenaltySolver,2.5390625,13.96484375,36.399011927118224,118,11.551052852184512,36.59127230980084,133120
0,45,5,6,3,PenaltySolver,1.5625,9.375,55.49902339125081,127,11.491141393169528,38.90896065684501,143360
0,46,5,6,3,PenaltySolver,12.20703125,27.9296875,21.638789053844484,124,10.955201371019939,39.82657474698499,140288
